"","lat","long","cluster"
"530",-6.37604,38.58249,5
"531",-6.37604,38.58188,5
"532",-6.37597,38.58477,5
"533",-6.37596,38.58147,5
"534",-6.37594,38.58183,5
"535",-6.37588,38.58471,5
"536",-6.37587,38.58135,5
"537",-6.37584,38.58422,5
"538",-6.37582,38.58442,5
"539",-6.3758,38.58213,5
"540",-6.3758,38.58213,5
"541",-6.37578,38.58164,5
"542",-6.37574,38.58098,5
"543",-6.37569,38.58082,5
"544",-6.37565,38.58456,5
"545",-6.37564,38.58157,5
"546",-6.37562,38.58368,5
"547",-6.37562,38.5813,5
"548",-6.37561,38.58285,5
"549",-6.37561,38.58064,5
"550",-6.37558,38.58212,5
"551",-6.37557,38.58412,5
"552",-6.37557,38.58412,5
"553",-6.37551,38.58429,5
"554",-6.3755,38.58253,5
"555",-6.3755,38.58387,5
"556",-6.37548,38.58291,5
"557",-6.37548,38.58547,5
"558",-6.37545,38.58353,5
"559",-6.37542,38.58436,5
"560",-6.37538,38.58527,5
"561",-6.37537,38.58269,5
"562",-6.37534,38.5831,5
"563",-6.37532,38.58197,5
"564",-6.37531,38.58419,5
"565",-6.3753,38.58522,5
"566",-6.3753,38.58527,5
"567",-6.37526,38.58221,5
"568",-6.37525,38.58392,5
"569",-6.37525,38.58392,5
"570",-6.37523,38.58532,5
"571",-6.3752,38.58549,5
"572",-6.37519,38.58281,5
"573",-6.37519,38.58281,5
"574",-6.37517,38.58429,5
"575",-6.37516,38.58524,5
"576",-6.37512,38.58197,5
"577",-6.37511,38.58215,5
"578",-6.3751,38.58479,5
"579",-6.37509,38.58549,5
"580",-6.37508,38.58548,5
"581",-6.37508,38.58548,5
"582",-6.37506,38.58353,5
"583",-6.37506,38.58464,5
"584",-6.37506,38.58458,5
"585",-6.37505,38.58287,5
"586",-6.37505,38.58287,5
"587",-6.37505,38.58287,5
"588",-6.37505,38.58295,5
"589",-6.37505,38.58591,5
"590",-6.37505,38.58082,5
"591",-6.37505,38.58082,5
"592",-6.37505,38.58082,5
"593",-6.375,38.58551,5
"594",-6.37497,38.58274,5
"595",-6.37497,38.58569,5
"596",-6.3749,38.58328,5
"597",-6.3749,38.58328,5
"598",-6.3749,38.58585,5
"599",-6.37489,38.58524,5
"600",-6.37486,38.58441,5
"601",-6.37485,38.58381,5
"602",-6.37477,38.5858,5
"603",-6.37475,38.5826,5
"604",-6.37471,38.58533,5
"605",-6.3747,38.58547,5
"606",-6.3747,38.58608,5
"607",-6.37468,38.58445,5
"608",-6.37468,38.58445,5
"609",-6.37468,38.58445,5
"610",-6.37467,38.58355,5
"611",-6.37467,38.58553,5
"612",-6.37466,38.58609,5
"613",-6.37463,38.58427,5
"614",-6.37462,38.58587,5
"615",-6.37462,38.5859,5
"616",-6.37459,38.58286,5
"617",-6.37454,38.58472,5
"618",-6.37452,38.58514,5
"619",-6.37452,38.58551,5
"620",-6.37448,38.58369,5
"621",-6.37448,38.58369,5
"622",-6.37444,38.58411,5
"623",-6.37442,38.58586,5
"624",-6.37439,38.58535,5
"625",-6.37438,38.58616,5
"626",-6.37435,38.58623,5
"627",-6.37431,38.58325,5
"628",-6.37431,38.58352,5
"629",-6.37429,38.58609,5
"630",-6.37429,38.58386,5
"631",-6.37421,38.58485,5
"632",-6.3742,38.5843,5
"633",-6.3742,38.58393,5
"634",-6.37405,38.58557,5
"635",-6.37404,38.58601,5
"636",-6.37404,38.58559,5
"637",-6.37403,38.58583,5
"638",-6.37397,38.58569,5
"639",-6.37394,38.58464,5
"640",-6.37393,38.58422,5
"641",-6.37227,38.5887,6
"642",-6.37211,38.58989,6
"643",-6.37208,38.58851,6
"644",-6.37206,38.58848,6
"645",-6.37192,38.58863,6
"646",-6.3719,38.58841,6
"647",-6.37189,38.58841,6
"648",-6.37189,38.58842,6
"649",-6.37189,38.58865,6
"650",-6.37186,38.58844,6
"651",-6.37186,38.58851,6
"652",-6.37184,38.58843,6
"653",-6.37183,38.58839,6
"654",-6.37175,38.58885,6
"655",-6.37166,38.59014,6
"656",-6.37162,38.58962,6
"657",-6.37158,38.58736,6
"658",-6.37153,38.58765,6
"659",-6.37151,38.59003,6
"660",-6.37149,38.58992,6
"661",-6.37147,38.59033,6
"662",-6.37145,38.58817,6
"663",-6.37145,38.58818,6
"664",-6.3714,38.58988,6
"665",-6.3714,38.58778,6
"666",-6.37128,38.58986,6
"667",-6.37125,38.58984,6
"668",-6.37122,38.59005,6
"669",-6.3712,38.59005,6
"670",-6.37119,38.58817,6
"671",-6.37112,38.58876,6
"672",-6.37103,38.5899,6
"673",-6.37102,38.59063,6
"674",-6.371,38.58885,6
"675",-6.371,38.59066,6
"676",-6.37099,38.58887,6
"677",-6.37098,38.5906,6
"678",-6.37097,38.59094,6
"679",-6.37096,38.59062,6
"680",-6.37096,38.59053,6
"681",-6.37083,38.58907,6
"682",-6.37078,38.58969,6
"683",-6.37075,38.58908,6
"684",-6.37072,38.58844,6
"685",-6.3707,38.58887,6
"686",-6.37067,38.58978,6
"687",-6.37066,38.59183,6
"688",-6.37066,38.59032,6
"689",-6.37065,38.58966,6
"690",-6.37052,38.58775,6
"691",-6.37051,38.58845,6
"692",-6.3705,38.58977,6
"693",-6.3705,38.58975,6
"694",-6.37047,38.58773,6
"695",-6.37045,38.58997,6
"696",-6.37045,38.58797,6
"697",-6.37045,38.59095,6
"698",-6.3704,38.58826,6
"699",-6.37039,38.5887,6
"700",-6.37038,38.59115,6
"701",-6.37037,38.59082,6
"702",-6.37031,38.58817,6
"703",-6.37027,38.5895,6
"704",-6.37026,38.59045,6
"705",-6.37024,38.58659,6
"706",-6.37023,38.59016,6
"707",-6.37023,38.59016,6
"708",-6.3702,38.58753,6
"709",-6.37019,38.59043,6
"710",-6.37019,38.58768,6
"711",-6.37013,38.58995,6
"712",-6.37009,38.58763,6
"713",-6.37008,38.5867,6
"714",-6.37004,38.58967,6
"715",-6.37001,38.58664,6
"716",-6.36997,38.58981,6
"717",-6.36995,38.58723,6
"718",-6.36994,38.59068,6
"719",-6.36993,38.58886,6
"720",-6.36993,38.58886,6
"721",-6.36986,38.58922,6
"722",-6.36983,38.58743,6
"723",-6.36982,38.59076,6
"724",-6.36982,38.5889,6
"725",-6.3698,38.58705,6
"726",-6.36979,38.58976,6
"727",-6.36972,38.58773,6
"728",-6.36968,38.5888,6
"729",-6.36967,38.58877,6
"730",-6.36966,38.58884,6
"731",-6.36964,38.5876,6
"732",-6.36961,38.5891,6
"733",-6.36961,38.58758,6
"734",-6.36959,38.58959,6
"735",-6.36958,38.5883,6
"736",-6.36957,38.5896,6
"737",-6.36953,38.59102,6
"738",-6.36951,38.58936,6
"739",-6.36951,38.58871,6
"740",-6.3694,38.58746,6
"741",-6.36939,38.58735,6
"742",-6.36938,38.5891,6
"743",-6.36936,38.58826,6
"744",-6.36933,38.58906,6
"745",-6.36932,38.58842,6
"746",-6.36931,38.58712,6
"747",-6.3693,38.58938,6
"748",-6.3692,38.58892,6
"749",-6.36914,38.58841,6
"750",-6.36912,38.58905,6
"751",-6.36912,38.58831,6
"752",-6.36908,38.59094,6
"753",-6.36905,38.58727,6
"754",-6.369,38.58904,6
"755",-6.369,38.58904,6
"756",-6.36893,38.58791,6
"757",-6.36889,38.58804,6
"758",-6.36887,38.58767,6
"759",-6.36887,38.58767,6
"760",-6.36885,38.58784,6
"761",-6.36859,38.58968,6
"762",-6.36848,38.58807,6
